Z110;P2-13A;RM-CLS-0.7X103;551;;1;N1RF2;P110;Process;Others;6.200;KG;MOHD AZHAR BIN TAIB;2026-01-12;2026-01-05;IPS12101;223210012655
Z210;D38L;67457-BZ150-SGP3;551;;1;N1P3;P120;Setting;D-Test;1.000;PCS;MOHD AZHAR BIN TAIB;2026-01-12;2026-01-05;IPS12105;223210012655
Z210;D38L;67458-BZ130-SGP3;551;;1;N1P3;P120;Setting;D-Test;2.000;PCS;MOHD AZHAR BIN TAIB;2026-01-12;2026-01-05;IPS12105;223210012655
Z210;D38L;67453-BZ110-SG;551;;1;N1P1;P120;Setting;D-Test;3.000;PCS;MOHD AZHAR BIN TAIB;2026-01-12;2026-01-05;IPS12105;223210012655
Z210;P2-13A;PW935249-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;MOHD AZHAR BIN TAIB;2026-01-12;2026-01-05;IPS12105;223210012655
Z210;P2-13A;PW935504-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;MOHD AZHAR BIN TAIB;2026-01-12;2026-01-05;IPS12105;223210012655
Z210;P2-13A;PW933718-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;MOHD AZHAR BIN TAIB;2026-01-12;2026-01-05;IPS12105;223210012655
Z210;P2-13A;PW935231-32-RF;551;;1;N1RF1;P120;Process;Bending NG;4.000;PCS;MOHD AZHAR BIN TAIB;2026-01-12;2026-01-05;IPS12101;223210012655
Z210;P2-13A;PW935593-RF;551;;1;N1RF1;P120;Process;D-Test;2.000;PCS;MOHD AZHAR BIN TAIB;2026-01-12;2026-01-05;IPS12101;223210012655
