Z210;D20N;67458-BZ140-SG;551;;1;N1P1;P120;Process;THREAD NG;10.000;PCS;MOHD AZHAR BIN TAIB;2026-06-10;2026-06-03;IPS12105;223210013402
Z210;P2-13A;PW935231-32-RF;551;;1;N1RF1;P120;Process;Welding NG;6.000;PCS;MOHD AZHAR BIN TAIB;2026-06-10;2026-06-03;IPS12101;223210013402
Z210;P2-13A;PW935212-RF;551;;1;N1RF1;P120;Process;Crimping NG;11.000;PCS;MOHD AZHAR BIN TAIB;2026-06-10;2026-06-03;IPS12101;223210013402
Z210;P2-13A;PW935214-RF;551;;1;N1RF2;P120;Process;Crimping NG;11.000;PCS;MOHD AZHAR BIN TAIB;2026-06-10;2026-06-03;IPS12101;223210013402
Z210;P2-13A;PW935211-RF;551;;1;N1RF1;P120;Process;Crimping NG;8.000;PCS;MOHD AZHAR BIN TAIB;2026-06-10;2026-06-03;IPS12101;223210013402
Z210;P2-13A;PW935213-RF;551;;1;N1RF2;P120;Process;Crimping NG;8.000;PCS;MOHD AZHAR BIN TAIB;2026-06-10;2026-06-03;IPS12101;223210013402
Z210;P2-13A;PW935227-RF;551;;1;N1RF1;P120;Process;Hump;4.000;PCS;MOHD AZHAR BIN TAIB;2026-06-10;2026-06-03;IPS12101;223210013402
Z210;P2-13A;PW935229-30-RF;551;;1;N1RF2;P120;Process;Hump;4.000;PCS;MOHD AZHAR BIN TAIB;2026-06-10;2026-06-03;IPS12101;223210013402
Z210;P2-13A;PW935594-RF;551;;1;N1RF1;P120;Process;D-Test;1.000;PCS;MOHD AZHAR BIN TAIB;2026-06-10;2026-06-03;IPS12101;223210013402
