Z210;D87A;67467-BZ170-SG;551;;1;N1P1;P120;Process;THREAD NG;5.000;PCS;MOHD AZHAR BIN TAIB;2026-06-11;2026-06-04;IPS12105;223210013414
Z210;P2-13A;PW935214-RF;551;;1;N1RF2;P120;Process;Hump;5.000;PCS;MOHD AZHAR BIN TAIB;2026-06-11;2026-06-04;IPS12101;223210013414
Z210;P2-13A;PW935594-RF;551;;1;N1RF1;P120;Process;Hump;7.000;PCS;MOHD AZHAR BIN TAIB;2026-06-11;2026-06-04;IPS12101;223210013414
Z210;P2-13A;PW935596-RF;551;;1;N1RF2;P120;Process;Hump;7.000;PCS;MOHD AZHAR BIN TAIB;2026-06-11;2026-06-04;IPS12101;223210013414
Z210;P2-13A;PW935595-RF;551;;1;N1RF1;P120;Process;D-Test;3.000;PCS;MOHD AZHAR BIN TAIB;2026-06-11;2026-06-04;IPS12101;223210013414
Z210;P2-13A;PW935595-RF;551;;1;N1RF2;P120;Process;D-Test;3.000;PCS;MOHD AZHAR BIN TAIB;2026-06-11;2026-06-04;IPS12101;223210013414
Z210;P2-13A;PW935229-30-RF;551;;1;N1RF2;P120;Process;Cutting NG;4.000;PCS;MOHD AZHAR BIN TAIB;2026-06-11;2026-06-04;IPS12101;223210013414
Z210;P2-30A;PW933793-RF;551;;1;N1RF1;P120;Process;Cutting NG;8.000;PCS;MOHD AZHAR BIN TAIB;2026-06-11;2026-06-04;IPS12101;223210013414
Z210;P2-30A;PW933797-98-RF;551;;1;N1RF2;P120;Process;Cutting NG;10.000;PCS;MOHD AZHAR BIN TAIB;2026-06-11;2026-06-04;IPS12101;223210013414
