Z110;D27A;RM-CLG-0.8X86.7;551;;1;N1RF1;P110;Process;Others;20.500;KG;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-11-26;2024-11-22;IPS12101;223210010468
Z210;D27A;67465-BZ100-SG;551;;1;N1P1;P120;Setting;D-Test;5.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-11-26;2024-11-22;IPS12105;223210010468
Z210;D55L;67462-BZ090-SG;551;;1;N1P1;P120;Setting;D-Test;5.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-11-26;2024-11-22;IPS12105;223210010468
Z210;D55L;67463-BZ180-SG;551;;1;N1P1;P120;Setting;D-Test;3.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-11-26;2024-11-22;IPS12105;223210010468
Z210;D55L;67467-BZ230-SG;551;;1;N1P1;P120;Setting;D-Test;3.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-11-26;2024-11-22;IPS12105;223210010468
Z210;D55L;67453-BZ140-SG;551;;1;N1P1;P120;Setting;D-Test;2.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-11-26;2024-11-22;IPS12105;223210010468
Z210;P2-13A;PW935249-SG;551;;1;N1P1;P120;Setting;D-Test;5.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-11-26;2024-11-22;IPS12105;223210010468
Z210;P2-13A;PW935249-SG;551;;1;N1RF1;P120;Process;Bending NG;4.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-11-26;2024-11-22;IPS12101;223210010468
Z210;P2-13A;PW935231-32-RF;551;;1;N1RF1;P120;Process;Bending NG;15.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-11-26;2024-11-22;IPS12101;223210010468
