Z210;D20N;67458-BZ140-SG;551;;1;N1P1;P120;Process;THREAD NG;6.000;PCS;Shamratul Nahar Mohammad;2024-10-16;2024-10-14;IPS12105;223210010252
Z210;P2-30A;PW933794-RF;551;;1;N1RF1;P120;Process;Welding NG;1.000;PCS;Shamratul Nahar Mohammad;2024-10-16;2024-10-14;IPS12101;223210010252
Z210;P2-30A;PW933791-92-RF;551;;1;N1RF1;P120;Process;Welding NG;1.000;PCS;Shamratul Nahar Mohammad;2024-10-16;2024-10-14;IPS12101;223210010252
Z210;P2-30A;PW933799-RF;551;;1;N1RF1;P120;Process;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2024-10-16;2024-10-14;IPS12101;223210010252
Z210;P2-30A;PW933797-98-RF;551;;1;N1RF2;P120;Process;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2024-10-16;2024-10-14;IPS12101;223210010252
Z210;P2-30A;PW932577-RF;551;;1;N1RF1;P120;Process;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-10-16;2024-10-14;IPS12101;223210010252
Z210;P2-30A;PW932577-78-RF;551;;1;N1RF2;P120;Process;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-10-16;2024-10-14;IPS12101;223210010252
Z210;P2-13A;PW935211-RF;551;;1;N1RF1;P120;Process;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2024-10-16;2024-10-14;IPS12101;223210010252
Z210;P2-13A;PW935213-RF;551;;1;N1RF2;P120;Process;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2024-10-16;2024-10-14;IPS12101;223210010252
