Z210;D27A;67471-BZ010-SG;551;;1;N1P1;P120;Process;THREAD NG;1.000;PCS;MOHD AZHAR BIN TAIB;2025-07-16;2025-07-09;IPS12105;223210011668
Z210;P2-30A;PW933797-98-RF;551;;1;N1RF2;P120;Process;D-Test;1.000;PCS;MOHD AZHAR BIN TAIB;2025-07-16;2025-07-09;IPS12101;223210011668
Z210;P2-31A;PW935699-RF;551;;1;N1RF1;P120;Process;D-Test;1.000;PCS;MOHD AZHAR BIN TAIB;2025-07-16;2025-07-09;IPS12101;223210011668
Z210;P2-31A;PW935701-RF;551;;1;N1RF2;P120;Process;D-Test;1.000;PCS;MOHD AZHAR BIN TAIB;2025-07-16;2025-07-09;IPS12101;223210011668
Z210;P2-31A;PW935702-RF;551;;1;N1RF1;P120;Process;Cutting NG;10.000;PCS;MOHD AZHAR BIN TAIB;2025-07-16;2025-07-09;IPS12101;223210011668
Z210;P2-13A;PW935229-30-RF;551;;1;N1RF2;P120;Process;Cutting NG;20.000;PCS;MOHD AZHAR BIN TAIB;2025-07-16;2025-07-09;IPS12101;223210011668
Z210;P2-13A;PW935596-RF;551;;1;N1RF2;P120;Process;Cutting NG;2.000;PCS;MOHD AZHAR BIN TAIB;2025-07-16;2025-07-09;IPS12101;223210011668
Z210;P2-13A;PW935594-RF;551;;1;N1RF1;P120;Process;D-Test;2.000;PCS;MOHD AZHAR BIN TAIB;2025-07-16;2025-07-09;IPS12101;223210011668
Z210;P2-13A;PW935596-RF;551;;1;N1RF2;P120;Process;D-Test;2.000;PCS;MOHD AZHAR BIN TAIB;2025-07-16;2025-07-09;IPS12101;223210011668
