Z210;D55L;67463-BZ180-SG;551;;1;N1P1;P120;Setting;D-Test;3.000;PCS;Shamratul Nahar Mohammad;2023-10-30;2023-10-25;IPS12105;223210008377
Z210;P2-13A;PW935212-RF;551;;1;N1RF1;P120;Process;Crimping NG;2.000;PCS;Shamratul Nahar Mohammad;2023-10-30;2023-10-25;IPS12101;223210008377
Z210;P2-13A;PW935214-RF;551;;1;N1RF2;P120;Process;Crimping NG;2.000;PCS;Shamratul Nahar Mohammad;2023-10-30;2023-10-25;IPS12101;223210008377
Z210;P2-13A;PW935228-RF;551;;1;N1RF1;P120;Process;Hump;1.000;PCS;Shamratul Nahar Mohammad;2023-10-30;2023-10-25;IPS12101;223210008377
Z210;P2-13A;PW935229-30-RF;551;;1;N1RF2;P120;Process;Hump;1.000;PCS;Shamratul Nahar Mohammad;2023-10-30;2023-10-25;IPS12101;223210008377
Z210;P2-30A;PW933799-RF;551;;1;N1RF1;P120;Process;Hump;2.000;PCS;Shamratul Nahar Mohammad;2023-10-30;2023-10-25;IPS12101;223210008377
Z210;P2-30A;PW933797-98-RF;551;;1;N1RF2;P120;Process;Hump;2.000;PCS;Shamratul Nahar Mohammad;2023-10-30;2023-10-25;IPS12101;223210008377
Z210;P2-31A;PW935700-RF;551;;1;N1RF1;P120;Process;Hump;1.000;PCS;Shamratul Nahar Mohammad;2023-10-30;2023-10-25;IPS12101;223210008377
Z210;P2-31A;PW935702-RF;551;;1;N1RF2;P120;Process;Hump;1.000;PCS;Shamratul Nahar Mohammad;2023-10-30;2023-10-25;IPS12101;223210008377
Z210;P2-30A;PW933797-98-RF;551;;1;N1RF2;P120;Process;Cutting NG;6.000;PCS;Shamratul Nahar Mohammad;2023-10-30;2023-10-25;IPS12101;223210008377
