Z110;D87A;RM-CLG-0.8X44.5;551;;1;N1RF2;P110;Process;Hump;1.200;KG;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-12-09;2024-12-06;IPS12101;223210010539
Z210;P2-13A;PW935212-RF;551;;1;N1RF1;P120;Process;D-Test;3.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-12-09;2024-12-06;IPS12101;223210010539
Z210;P2-13A;PW935227-RF;551;;1;N1RF1;P120;Process;D-Test;1.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-12-09;2024-12-06;IPS12101;223210010539
Z210;P2-13A;PW935228-RF;551;;1;N1RF1;P120;Process;D-Test;1.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-12-09;2024-12-06;IPS12101;223210010539
Z210;P2-13A;PW935229-30-RF;551;;1;N1RF2;P120;Process;D-Test;2.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-12-09;2024-12-06;IPS12101;223210010539
Z210;P2-13A;PW935593-RF;551;;1;N1RF1;P120;Process;D-Test;1.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-12-09;2024-12-06;IPS12101;223210010539
Z210;P2-13A;PW935595-RF;551;;1;N1RF2;P120;Process;D-Test;1.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-12-09;2024-12-06;IPS12101;223210010539
Z210;P2-13A;PW935594-RF;551;;1;N1RF1;P120;Process;D-Test;1.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-12-09;2024-12-06;IPS12101;223210010539
Z210;P2-13A;PW935596-RF;551;;1;N1RF2;P120;Process;D-Test;1.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-12-09;2024-12-06;IPS12101;223210010539
Z210;P2-13A;PW935229-30-RF;551;;1;N1RF2;P120;Process;Cutting NG;1.000;PCS;Mohamad Aidil Zhafri Bin Mohamad Zani;2024-12-09;2024-12-06;IPS12101;223210010539
