Z210;D63D;67458-BZ110-SG;551;;1;N1P1;P120;Process;THREAD NG;1.000;PCS;Shamratul Nahar Mohammad;2024-09-23;2024-09-11;IPS12105;223210010111
Z210;P2-30A;PW933795-96-SG;551;;1;N1RF2;P120;Process;Welding NG;1.000;PCS;Shamratul Nahar Mohammad;2024-09-23;2024-09-11;IPS12101;223210010111
Z210;P2-30A;PW933791-92-RF;551;;1;N1RF1;P120;Process;Welding NG;1.000;PCS;Shamratul Nahar Mohammad;2024-09-23;2024-09-11;IPS12101;223210010111
Z210;P2-30A;PW932578-RF;551;;1;N1RF1;P120;Process;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2024-09-23;2024-09-11;IPS12101;223210010111
Z210;P2-30A;PW932577-78-RF;551;;1;N1RF2;P120;Process;D-Test;2.000;PCS;Shamratul Nahar Mohammad;2024-09-23;2024-09-11;IPS12101;223210010111
Z210;P2-30A;PW933799-RF;551;;1;N1RF1;P120;Process;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-09-23;2024-09-11;IPS12101;223210010111
Z210;P2-30A;PW933797-98-RF;551;;1;N1RF2;P120;Process;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-09-23;2024-09-11;IPS12101;223210010111
Z210;P2-13A;PW935227-RF;551;;1;N1RF1;P120;Process;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-09-23;2024-09-11;IPS12101;223210010111
Z210;P2-13A;PW935228-RF;551;;1;N1RF1;P120;Process;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-09-23;2024-09-11;IPS12101;223210010111
