Z210;D20N;67457-BZ140-SG;551;;1;N1P1;P120;Process;THREAD NG;15.000;PCS;Shamratul Nahar Mohammad;2024-10-25;2024-10-24;IPS12105;223210010310
Z210;P2-13A;PW935212-RF;551;;1;N1RF1;P120;Process;Hump;3.000;PCS;Shamratul Nahar Mohammad;2024-10-25;2024-10-24;IPS12101;223210010310
Z210;P2-13A;PW935214-RF;551;;1;N1RF2;P120;Process;Hump;3.000;PCS;Shamratul Nahar Mohammad;2024-10-25;2024-10-24;IPS12101;223210010310
Z210;P2-13A;PW935211-RF;551;;1;N1RF1;P120;Process;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-10-25;2024-10-24;IPS12101;223210010310
Z210;P2-13A;PW935213-RF;551;;1;N1RF2;P120;Process;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-10-25;2024-10-24;IPS12101;223210010310
Z210;P2-13A;PW935593-RF;551;;1;N1RF1;P120;Process;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-10-25;2024-10-24;IPS12101;223210010310
Z210;P2-13A;PW935595-RF;551;;1;N1RF2;P120;Process;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-10-25;2024-10-24;IPS12101;223210010310
Z210;P2-30A;PW933799-RF;551;;1;N1RF1;P120;Process;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-10-25;2024-10-24;IPS12101;223210010310
Z210;P2-30A;PW933797-98-RF;551;;1;N1RF2;P120;Process;D-Test;1.000;PCS;Shamratul Nahar Mohammad;2024-10-25;2024-10-24;IPS12101;223210010310
Z210;P2-13A;PW935596-RF;551;;1;N1RF2;P120;Process;Cutting NG;2.000;PCS;Shamratul Nahar Mohammad;2024-10-25;2024-10-24;IPS12101;223210010310
