Z210;D63D;67458-BZ110-SG;551;;1;N1P1;P120;Process;THREAD NG;6.000;PCS;Shamratul Nahar Mohammad;2023-09-26;2023-09-21;IPS12105;223210008191
Z210;P2-31A;PW935699-RF;551;;1;N1RF1;P120;Process;Welding NG;1.000;PCS;Shamratul Nahar Mohammad;2023-09-26;2023-09-21;IPS12101;223210008191
Z210;P2-31A;PW935701-RF;551;;1;N1RF2;P120;Process;Welding NG;1.000;PCS;Shamratul Nahar Mohammad;2023-09-26;2023-09-21;IPS12101;223210008191
Z210;P2-31A;PW935593-RF;551;;1;N1RF1;P120;Setting;Body NG;3.000;PCS;Shamratul Nahar Mohammad;2023-09-26;2023-09-21;IPS12101;223210008191
Z210;P2-31A;PW935595-RF;551;;1;N1RF2;P120;Setting;Body NG;3.000;PCS;Shamratul Nahar Mohammad;2023-09-26;2023-09-21;IPS12101;223210008191
Z210;P2-31A;PW935594-RF;551;;1;N1RF1;P120;Setting;Body NG;1.000;PCS;Shamratul Nahar Mohammad;2023-09-26;2023-09-21;IPS12101;223210008191
Z210;P2-31A;PW935596-RF;551;;1;N1RF2;P120;Setting;Body NG;1.000;PCS;Shamratul Nahar Mohammad;2023-09-26;2023-09-21;IPS12101;223210008191
Z210;P2-31A;PW935231-32-RF;551;;1;N1RF1;P120;Setting;Body NG;2.000;PCS;Shamratul Nahar Mohammad;2023-09-26;2023-09-21;IPS12101;223210008191
Z210;P2-13A;PW935212-RF;551;;1;N1RF1;P120;Process;Crimping NG;7.000;PCS;Shamratul Nahar Mohammad;2023-09-26;2023-09-21;IPS12101;223210008191
