Z210;D74A;67457-BZ200-SG;551;;1;N1P1;P120;Process;THREAD NG;1.000;PCS;MOHD AZHAR BIN TAIB;2025-07-22;2025-07-17;IPS12105;223210011711
Z210;P2-30A;PW933794-RF;551;;1;N1RF1;P120;Process;Welding NG;11.000;PCS;MOHD AZHAR BIN TAIB;2025-07-22;2025-07-17;IPS12101;223210011711
Z210;P2-30A;PW933791-92-RF;551;;1;N1RF1;P120;Process;Welding NG;11.000;PCS;MOHD AZHAR BIN TAIB;2025-07-22;2025-07-17;IPS12101;223210011711
Z210;P2-30A;PW933791-92-RF;551;;1;N1RF1;P120;Process;Welding NG;11.000;PCS;MOHD AZHAR BIN TAIB;2025-07-22;2025-07-17;IPS12101;223210011711
Z210;P2-30A;PW932578-RF;551;;1;N1RF1;P120;Process;Dented;9.000;PCS;MOHD AZHAR BIN TAIB;2025-07-22;2025-07-17;IPS12101;223210011711
Z210;P2-30A;PW932577-78-RF;551;;1;N1RF2;P120;Process;Dented;9.000;PCS;MOHD AZHAR BIN TAIB;2025-07-22;2025-07-17;IPS12101;223210011711
Z210;P2-30A;PW933800-RF;551;;1;N1RF1;P120;Process;D-Test;1.000;PCS;MOHD AZHAR BIN TAIB;2025-07-22;2025-07-17;IPS12101;223210011711
Z210;P2-30A;PW933797-98-RF;551;;1;N1RF2;P120;Process;D-Test;1.000;PCS;MOHD AZHAR BIN TAIB;2025-07-22;2025-07-17;IPS12101;223210011711
Z210;P2-30A;PW932577-78-RF;551;;1;N1RF2;P120;Process;Cutting NG;10.000;PCS;MOHD AZHAR BIN TAIB;2025-07-22;2025-07-17;IPS12101;223210011711
