Z210;D87A;67455-BZ040-SG;551;;1;N1P1;P120;Setting;D-Test;3.000;PCS;MOHD AZHAR BIN TAIB;2025-06-30;2025-06-25;IPS12105;223210011579
Z210;P2-30A;PW933800-RF;551;;1;N1RF1;P120;Process;D-Test;1.000;PCS;MOHD AZHAR BIN TAIB;2025-06-30;2025-06-25;IPS12101;223210011579
Z210;P2-30A;PW933797-98-RF;551;;1;N1RF2;P120;Process;D-Test;2.000;PCS;MOHD AZHAR BIN TAIB;2025-06-30;2025-06-25;IPS12101;223210011579
Z210;P2-30A;PW933794-RF;551;;1;N1RF1;P120;Process;Cutting NG;2.000;PCS;MOHD AZHAR BIN TAIB;2025-06-30;2025-06-25;IPS12101;223210011579
Z210;P2-30A;PW933797-98-RF;551;;1;N1RF2;P120;Process;Cutting NG;18.000;PCS;MOHD AZHAR BIN TAIB;2025-06-30;2025-06-25;IPS12101;223210011579
Z210;P2-13A;PW935596-RF;551;;1;N1RF2;P120;Process;Cutting NG;5.000;PCS;MOHD AZHAR BIN TAIB;2025-06-30;2025-06-25;IPS12101;223210011579
Z210;P2-13A;PW935229-30-RF;551;;1;N1RF2;P120;Process;Cutting NG;7.000;PCS;MOHD AZHAR BIN TAIB;2025-06-30;2025-06-25;IPS12101;223210011579
